Date,Epoch,Gold,dy_dx,Local_response_gold_1pct,Exact_response_gold_1pct,Actual,Predicted,PE
2020-01-01,100,956.5790592382267,-0.0026794272845026253,-0.025630840311067576,-0.025630943,4.75,4.146657,-12.701958104183799
2020-01-02,100,956.5790592382267,-0.0026794272845026253,-0.025630840311067576,-0.02563077,4.75,4.1540318,-12.546699925472861
2020-01-03,100,972.0775545187923,-0.001125896615598136,-0.010944588287316209,-0.010944693,4.8,4.2771273,-10.893181959788002
2020-01-06,100,982.7445561632986,-0.001415755773949671,-0.013913262797057969,-0.012886682,4.86,4.3922906,-9.623650366386764
2020-01-07,100,986.25845327557,-8.515847141339407e-06,-8.398826229948588e-05,-8.39591e-05,4.67,4.378943,-6.232484658218807
2020-01-08,100,977.2228600928797,-0.0009666534424959905,-0.0094463584179456,-0.009446353,4.7,4.152737,-11.643890624350693
2020-01-09,100,973.6462312312198,-0.0009666534424959905,-0.009411784811929058,-0.009411919,4.51,4.161719,-7.722420280101289
2020-01-10,100,977.2855918422683,-0.0009666534424959905,-0.009446964816560603,-0.00944696,4.54,4.171134,-8.12480187100986
2020-01-13,100,971.5756239281411,-0.001394513167973453,-0.013548750012498164,-0.0103961835,4.63,4.147483,-10.42153624170027
2020-01-14,100,967.8107998183154,-0.001394513167973453,-0.013496249044535604,-0.0100993775,4.74,4.127685,-12.918036497091949
2020-01-15,100,973.8972348243167,-0.001394513167973453,-0.013581125182154439,-0.010018455,4.6,4.2105618,-8.466048862623124
2020-01-16,100,971.9520910200152,-0.0009666534424959905,-0.009395408347256742,-0.009395527,4.52,4.132476,-8.573543075966615
2020-01-17,100,978.1013343709476,-0.0009666534424959905,-0.009454850219795984,-0.0094549395,4.62,4.1446786,-10.288342149742757
2020-01-19,100,976.5953894079088,-0.0009666534424959905,-0.009440292950968675,-0.009440368,4.54,4.152685,-8.531163757593095
2020-01-20,100,976.5953894079088,-0.0009666534424959905,-0.009440292950968675,-0.009440281,4.54,4.0883384,-9.948493940714698
2020-01-21,100,976.5953894079088,-0.0008146410123354316,-0.007955746566693738,-0.007955818,4.36,4.0181675,-7.84019505212067
